No.,District code,District name,Ward_name,Ward code
1,760,District 1,Tan Dinh Ward,26734
2,760,District 1,Da Kao Ward,26737
3,760,District 1,Ben Nghe Ward,26740
4,760,District 1,Ben Thanh Ward,26743
5,760,District 1,Nguyen Thai Binh Ward,26746
6,760,District 1,Pham Ngu Lao Ward,26749
7,760,District 1,Cau Ong Lanh Ward,26752
8,760,District 1,Co Giang Ward,26755
9,760,District 1,Nguyen Cu Trinh Ward,26758
10,760,District 1,Cau Kho Ward,26761
11,761,District 12,Thanh Xuan Ward,26764
12,761,District 12,Thanh Loc Ward,26767
13,761,District 12,Hiep Thanh Ward,26770
14,761,District 12,Thoi An Ward,26773
15,761,District 12,Tan Chanh Hiep Ward,26776
16,761,District 12,An Phu Dong Ward,26779
17,761,District 12,Tan Thoi Hiep Ward,26782
18,761,District 12,Trung My Tay Ward,26785
19,761,District 12,Tan Hung Thuan Ward,26787
20,761,District 12,Dong Hung Thuan Ward,26788
21,761,District 12,Tan Thoi Nhat Ward,26791
22,762,District Thu Duc,Linh Xuan Ward,26794
23,762,District Thu Duc,Binh Chieu Ward,26797
24,762,District Thu Duc,Linh Trung Ward,26800
25,762,District Thu Duc,Tam Binh Ward,26803
26,762,District Thu Duc,Tam Phu Ward,26806
27,762,District Thu Duc,Hiep Binh Phuoc Ward,26809
28,762,District Thu Duc,Hiep Binh Chanh Ward,26812
29,762,District Thu Duc,Linh Chieu Ward,26815
30,762,District Thu Duc,Linh Tay Ward,26818
31,762,District Thu Duc,Linh Dong Ward,26821
32,762,District Thu Duc,Binh Tho Ward,26824
33,762,District Thu Duc,Truong Tho Ward,26827
34,763,District 9,Long Binh Ward,26830
35,763,District 9,Long Thanh My Ward,26833
36,763,District 9,Tan Phu Ward,26836
37,763,District 9,Hiep Phu Ward,26839
38,763,District 9,Tang Nhon Phu A Ward,26842
39,763,District 9,Tang Nhon Phu B Ward,26845
40,763,District 9,Phuoc Long B Ward,26848
41,763,District 9,Phuoc Long A Ward,26851
42,763,District 9,Truong Thanh Ward,26854
43,763,District 9,Long Phuoc Ward,26857
44,763,District 9,Long Truong Ward,26860
45,763,District 9,Phuoc Binh Ward,26863
46,763,District 9,Phu Huu Ward,26866
47,764,District Go Vap,Ward 15,26869
48,764,District Go Vap,Ward 13,26872
49,764,District Go Vap,Ward 17,26875
50,764,District Go Vap,Ward 6,26876
51,764,District Go Vap,Ward 16,26878
52,764,District Go Vap,Ward 12,26881
53,764,District Go Vap,Ward 14,26882
54,764,District Go Vap,Ward 10,26884
55,764,District Go Vap,Ward 5,26887
56,764,District Go Vap,Ward 7,26890
57,764,District Go Vap,Ward 4,26893
58,764,District Go Vap,Ward 1,26896
59,764,District Go Vap,Ward 9,26897
60,764,District Go Vap,Ward 8,26898
61,764,District Go Vap,Ward 11,26899
62,764,District Go Vap,Ward 3,26902
63,765,District Binh Thanh,Ward 13,26905
64,765,District Binh Thanh,Ward 11,26908
65,765,District Binh Thanh,Ward 27,26911
66,765,District Binh Thanh,Ward 26,26914
67,765,District Binh Thanh,Ward 12,26917
68,765,District Binh Thanh,Ward 25,26920
69,765,District Binh Thanh,Ward 5,26923
70,765,District Binh Thanh,Ward 7,26926
71,765,District Binh Thanh,Ward 24,26929
72,765,District Binh Thanh,Ward 6,26932
73,765,District Binh Thanh,Ward 14,26935
74,765,District Binh Thanh,Ward 15,26938
75,765,District Binh Thanh,Ward 2,26941
76,765,District Binh Thanh,Ward 1,26944
77,765,District Binh Thanh,Ward 3,26947
78,765,District Binh Thanh,Ward 17,26950
79,765,District Binh Thanh,Ward 21,26953
80,765,District Binh Thanh,Ward 22,26956
81,765,District Binh Thanh,Ward 19,26959
82,765,District Binh Thanh,Ward 28,26962
83,766,District Tan Binh,Ward 2,26965
84,766,District Tan Binh,Ward 4,26968
85,766,District Tan Binh,Ward 12,26971
86,766,District Tan Binh,Ward 13,26974
87,766,District Tan Binh,Ward 1,26977
88,766,District Tan Binh,Ward 3,26980
89,766,District Tan Binh,Ward 11,26983
90,766,District Tan Binh,Ward 7,26986
91,766,District Tan Binh,Ward 5,26989
92,766,District Tan Binh,Ward 10,26992
93,766,District Tan Binh,Ward 6,26995
94,766,District Tan Binh,Ward 8,26998
95,766,District Tan Binh,Ward 9,27001
96,766,District Tan Binh,Ward 14,27004
97,766,District Tan Binh,Ward 15,27007
98,767,District Tan Phu,Tan Son Nhi Ward,27010
99,767,District Tan Phu,Tay Thanh Ward,27013
100,767,District Tan Phu,Son Ky Ward,27016
101,767,District Tan Phu,Tan Quy Ward,27019
102,767,District Tan Phu,Tan Thanh Ward,27022
103,767,District Tan Phu,Phu Tho Hoa Ward,27025
104,767,District Tan Phu,Phu Thanh Ward,27028
105,767,District Tan Phu,Phu Trung Ward,27031
106,767,District Tan Phu,Hoa Thanh Ward,27034
107,767,District Tan Phu,Hiep Tan Ward,27037
108,767,District Tan Phu,Tan Thoi Hoa Ward,27040
109,768,District Phu Nhuan,Ward 4,27043
110,768,District Phu Nhuan,Ward 5,27046
111,768,District Phu Nhuan,Ward 9,27049
112,768,District Phu Nhuan,Ward 7,27052
113,768,District Phu Nhuan,Ward 3,27055
114,768,District Phu Nhuan,Ward 1,27058
115,768,District Phu Nhuan,Ward 2,27061
116,768,District Phu Nhuan,Ward 8,27064
117,768,District Phu Nhuan,Ward 15,27067
118,768,District Phu Nhuan,Ward 10,27070
119,768,District Phu Nhuan,Ward 11,27073
120,768,District Phu Nhuan,Ward 17,27076
121,768,District Phu Nhuan,Ward 14,27079
122,768,District Phu Nhuan,Ward 12,27082
123,768,District Phu Nhuan,Ward 13,27085
124,769,District 2,Thao Dien Ward,27088
